Name,Start Date,End Date,Wind Speed
Name,Start Date,End Date,Wind Speed
Agni - Cyclone (2004),28/11/2004,3/12/2004,65
Aila - Cyclone (2009),24/05/2009,25/05/2009,65
Laila - Cyclone (2010),17/05/2010,21/05/2010,65
Mala - Cyclone (2006),24/04/2006,29/04/2006,115
Nargis - Cyclone (2008),27/04/2008,3/05/2008,115
Phet - Cyclone (2010),31/05/2010,6/06/2010,125
Adeline juliet - Cyclone (2005),5/04/2005,12/04/2005,130
Alenga - Cyclone (2011),5/12/2011,9/12/2011,90
Amara - Cyclone (2013),16/12/2013,23/12/2013,130
Anais - Cyclone (2012),12/10/2012,17/10/2012,55
Anja - Cyclone (2009),14/11/2009,18/11/2009,115
Babiola - Cyclone (2000),5/01/2000,11/01/2000,90
Bejisa - Cyclone (2013),29/12/2013,31/12/2013,105
Benilde - Cyclone (2011),28/12/2011,31/12/2011,90
Benilde - Cyclone (2012),28/12/2012,4/01/2013,35
Bessi bako - Cyclone (2001),1/12/2001,3/12/2001,75
Bianca - Cyclone (2011),25/01/2011,29/01/2011,115
Bindu - Cyclone (2001),7/01/2001,16/01/2001,115
Bingiza - Cyclone (2011),9/02/2011,17/02/2011,100
Boura - Cyclone (2002),15/11/2002,22/11/2002,75
Carina - Cyclone (2006),23/02/2006,2/03/2006,130
Christine - Cyclone (2013),28/12/2013,30/12/2013,85
Claudia - Cyclone (2012),6/12/2012,13/12/2012,45
Cleo - Cyclone (2009),7/12/2009,14/12/2009,115
Connie - Cyclone (2000),25/01/2000,2/02/2000,115
Crystal - Cyclone (2002),24/12/2002,29/12/2002,90
Dera - Cyclone (2001),9/03/2001,13/03/2001,75
Dianne - Cyclone (2011),16/02/2011,22/02/2011,85
Dianne jery - Cyclone (2002),8/04/2002,11/04/2002,105
Dina - Cyclone (2002),17/01/2002,24/01/2002,130
Dora - Cyclone (2007),28/01/2007,9/02/2007,115
Ethel - Cyclone (2012),19/01/2012,22/01/2012,120
Fame - Cyclone (2008),25/01/2008,1/02/2008,80
Francesca - Cyclone (2002),1/02/2002,11/02/2002,115
Gamede - Cyclone (2007),21/02/2007,2/03/2007,105
Gelane - Cyclone (2010),16/02/2010,21/02/2010,125
Giovanna - Cyclone (2012),9/02/2012,21/02/2012,50
Glenda - Cyclone (2006),27/03/2006,30/03/2006,140
Gloria - Cyclone (2000),28/02/2000,5/03/2000,65
Gula - Cyclone (2008),27/01/2008,2/02/2008,85
Haruna - Cyclone (2013),19/02/2013,25/02/2013,100
Hudah - Cyclone (2000),24/03/2000,9/04/2000,125
Ikala - Cyclone (2002),24/03/2002,28/03/2002,105
Ilsa - Cyclone (2009),18/03/2009,23/03/2009,100
Imani - Cyclone (2010),22/03/2010,26/03/2010,70
Imelda - Cyclone (2013),6/04/2013,16/04/2013,85
Ingrid - Cyclone (2005) - Southern India,12/03/2005,15/03/2005,135
Izilda - Cyclone (2009),24/03/2009,26/03/2009,65
Jade - Cyclone (2009),4/04/2009,10/04/2009,65
Jaya - Cyclone (2007),30/03/2007,4/04/2007,110
Jokwe - Cyclone (2008),5/03/2008,14/03/2008,100
Kara - Cyclone (2007),25/03/2007,27/03/2007,80
Kesiny - Cyclone (2002),3/05/2002,11/05/2002,65
Kirrily - Cyclone (2000),27/01/2000,1/02/2000,80
Laurence - Cyclone (2009),13/12/2009,21/12/2009,115
Lua - Cyclone (2012),13/03/2012,17/03/2012,35
Monica - Cyclone (2006) - Southern Indian,24/04/2006,24/04/2006,155
Narelle - Cyclone (2013),7/01/2013,14/01/2013,115
Ophelia - Cyclone (2008),1/03/2008,6/03/2008,65
Rosita - Cyclone (2000),17/04/2000,20/04/2000,125
Victoria - Cyclone (2013),9/04/2013,12/04/2013,80
Ami - Cyclone (2003),11/01/2003,14/01/2003,110
Atu - Cyclone (2011),18/02/2011,23/02/2011,115
Becky - Cyclone (2007),26/03/2007,29/03/2007,70
Bune - Cyclone (2011),23/03/2011,28/03/2011,75
Claudia - Cyclone (2002),11/02/2002,13/02/2002,75
Debbie - Cyclone (2003),18/12/2003,21/12/2003,65
Erica - Cyclone (2003),4/03/2003,15/03/2003,140
Eseta - Cyclone (2003),10/03/2003,14/03/2003,110
Freda - Cyclone (2013),1/01/2013,2/01/2013,70
Freda - Cyclone (2012),28/12/2012,31/12/2012,105
Funa - Cyclone (2008),16/01/2008,20/01/2008,105
Gina - Cyclone (2003),4/06/2003,8/06/2003,90
Ingrid - Cyclone (2005) - Southern Pacific,6/03/2005,11/03/2005,130
Iris - Cyclone (2000),8/01/2000,10/01/2000,65
Ita - Cyclone (2014),4/04/2014,14/04/2014,135
Ivy - Cyclone (2004),22/02/2004,29/02/2004,110
Jasmine - Cyclone (2012),4/02/2012,15/02/2012,115
Jo - Cyclone (2000),24/01/2000,27/01/2000,65
Kerry - Cyclone (2005),5/01/2005,12/01/2005,90
Kim - Cyclone (2000),24/02/2000,29/02/2000,80
Lusi - Cyclone (2014),9/03/2014,13/03/2014,70
Meena - Cyclone (2005),3/02/2005,7/02/2005,125
Monica - Cyclone (2006) - Southern Pacific,17/04/2006,24/04/2006,155
Nancy - Cyclone (2005),13/02/2005,16/02/2005,125
Pat - Cyclone (2010),7/02/2010,11/02/2010,90
Paula - Cyclone (2001),27/02/2001,4/03/2001,90
Sandra - Cyclone (2013),7/03/2013,14/03/2013,110
Sose - Cyclone (2001),6/04/2001,11/04/2001,65
Waka - Cyclone (2002),29/12/2002,2/01/2003,90
Waka - Cyclone (2001),29/12/2001,31/12/2001,100
Wati - Cyclone (2006),19/03/2006,24/03/2006,80
Wilma - Cyclone (2011),22/01/2011,28/01/2011,115
Yani - Cyclone (2006),22/11/2006,25/11/2006,65
Yasi - Cyclone (2011),30/01/2011,3/02/2011,135
Zelia - Cyclone (2011),14/01/2011,17/01/2011,90
Zoe - Cyclone (2002),25/12/2002,31/12/2002,155
Giri - Cyclone (2010),21/10/2010,22/10/2010,135
Hudhud - Cyclone (2014),8/10/2014,12/10/2014,115
Jal - Cyclone (2010),4/11/2010,7/11/2010,70
Abele - Cyclone (2010),29/11/2010,3/12/2010,75
Alistair - Cyclone (2001),16/04/2001,21/04/2001,65
Ando - Cyclone (2001),2/01/2001,10/01/2001,125
Bertie Alvin - Cyclone (2005),19/11/2005,26/11/2005,115
Bessi - Cyclone (2001),27/11/2001,5/12/2001,65
Billy - Cyclone (2008),18/12/2008,27/12/2008,105
Boloetse - Cyclone (2006),25/01/2006,5/02/2006,100
Bondo - Cyclone (2006),18/12/2006,26/12/2006,120
Bongwe - Cyclone (2007),18/11/2007,23/11/2007,65
Bruce - Cyclone (2013),17/12/2013,24/12/2013,140
Carlos - Cyclone (2011),15/02/2011,26/02/2011,65
Charly - Cyclone (2001),19/01/2001,25/01/2001,105
Chris - Cyclone (2002),3/02/2002,6/02/2002,125
Clovis - Cyclone (2007),1/01/2007,4/01/2007,65
Daryl - Cyclone (2006),19/01/2006,22/01/2006,65
Dumile - Cyclone (2013),1/01/2013,5/01/2013,70
Eddy - Cyclone (2002),24/01/2002,28/01/2002,65
Ernest - Cyclone (2005),20/01/2005,23/01/2005,100
Evariste - Cyclone (2001),3/04/2001,8/04/2001,75
Fanele - Cyclone (2009),19/01/2009,22/01/2009,100
Favio - Cyclone (2007),14/02/2007,23/02/2007,125
Felleng - Cyclone (2013),26/01/2013,3/02/2013,115
Floyd - Cyclone (2006),21/03/2006,26/03/2006,115
Funso - Cyclone (2012),19/01/2012,28/01/2012,65
Gael - Cyclone (2009),2/02/2009,10/02/2009,120
George - Cyclone (2007),3/03/2007,9/03/2007,110
Gino - Cyclone (2013),11/02/2013,15/02/2013,90
Guillaume - Cyclone (2002),15/02/2002,22/02/2002,120
Hary - Cyclone (2002),6/03/2002,13/03/2002,140
Hennie - Cyclone (2005),21/03/2005,25/03/2005,65
Hondo - Cyclone (2008),4/02/2008,24/02/2008,125
Humba - Cyclone (2007),21/02/2007,26/02/2007,70
Iggy - Cyclone (2012),25/01/2012,2/02/2012,125
Ivan - Cyclone (2008),7/02/2008,18/02/2008,115
Jacob - Cyclone (2007),7/03/2007,12/03/2007,75
Kamba - Cyclone (2008),7/03/2008,12/03/2008,110
Koji - Cyclone (2012),7/03/2012,12/03/2012,95
Lee ariel - Cyclone (2007),14/11/2007,18/11/2007,65
Leon eline - Cyclone (2000),4/03/2000,23/03/2000,100
Nicholas - Cyclone (2008),12/02/2008,20/02/2008,80
Norman - Cyclone (2000),1/03/2000,8/03/2000,120
Pancho - Cyclone (2008),24/03/2008,29/03/2008,95
Paul - Cyclone (2000),13/04/2000,21/04/2000,125
Rusty - Cyclone (2013),24/02/2013,27/02/2013,95
Sam - Cyclone (2000),5/12/2000,9/12/2000,
Walter - Cyclone (2001),3/04/2001,8/04/2001,90
Willy - Cyclone (2005),9/03/2005,14/03/2005,90
Arthur - Cyclone (2007),24/01/2007,26/01/2007,65
Beni - Cyclone (2003),25/01/2003,31/01/2003,125
Daman - Cyclone (2007),5/12/2007,9/12/2007,105
Dovi - Cyclone (2003),5/02/2003,10/02/2003,130
Evan - Cyclone (2012),11/12/2012,19/12/2012,115
Garry - Cyclone (2013),20/01/2013,27/01/2013,85
Gene - Cyclone (2008),28/01/2008,6/02/2008,100
Guba - Cyclone (2007),13/11/2007,19/11/2007,75
Hamish - Cyclone (2009),5/03/2009,12/03/2009,130
Ian - Cyclone (2014),5/01/2014,13/01/2014,125
Jim - Cyclone (2006),28/01/2006,1/02/2006,80
Larry - Cyclone (2006),18/03/2006,20/03/2006,100
Mick - Cyclone (2009),12/12/2009,15/12/2009,65
Olaf - Cyclone (2005),13/02/2005,20/02/2005,145
Oli - Cyclone (2010),1/02/2010,6/02/2010,115
Percy - Cyclone (2005),25/02/2005,4/03/2005,140
Rene - Cyclone (2010),11/02/2010,16/02/2010,100
Steve - Cyclone (2000),28/02/2000,11/03/2000,65
Tomas - Cyclone (2010),11/03/2010,17/03/2010,115
Ului - Cyclone (2010),11/03/2010,20/03/2010,140
Vaianu - Cyclone (2006),11/02/2006,15/02/2006,75
Xavier - Cyclone (2006),22/10/2006,25/10/2006,115
01b - Cyclone (2003),11/05/2003,19/05/2003,65
02a - Cyclone (2003),12/11/2003,15/11/2003,85
03b - Cyclone (2000),26/11/2000,5/12/2000,65
04b - Cyclone (2000),25/12/2000,28/12/2000,65
Astride - Cyclone (2000),25/12/2000,1/01/2001,65
Edzani - Cyclone (2010),6/01/2010,14/01/2010,135
Heta - Cyclone (2004),2/01/2004,8/01/2004,140
Aletta - Hurricane (2000),22/05/2000,28/05/2000,90
Alma - Hurricane (2002),24/05/2002,1/06/2002,95
Amanda - Hurricane (2014),22/05/2014,29/05/2014,135
Ana - Hurricane (2014),13/10/2014,20/10/2014,75
Barbara - Hurricane (2013),28/05/2013,30/05/2013,65
Beatriz - Hurricane (1999),9/07/1999,16/07/1999,105
Beatriz - Hurricane (2011),19/06/2011,22/06/2011,80
Carlotta - Hurricane (2006),12/07/2006,17/07/2006,75
Carlotta - Hurricane (2012),14/06/2012,17/06/2012,90
Carlotta - Hurricane (2000),18/06/2000,25/06/2000,130
Celia - Hurricane (2010),19/06/2010,29/06/2010,140
Cristina - Hurricane (2014),9/06/2014,15/06/2014,130
Dalila - Hurricane (2001),21/07/2001,28/07/2001,70
Dalila - Hurricane (2013),30/06/2013,7/07/2013,65
Darby - Hurricane (2010),23/06/2010,28/06/2010,105
Darby - Hurricane (1998),23/07/1998,31/07/1998,105
Dolores - Hurricane (1997),6/07/1997,12/07/1997,80
Dora - Hurricane (1999),6/08/1999,20/08/1999,120
Dora - Hurricane (2011),18/07/2011,24/07/2011,135
Ele - Hurricane (2002),25/08/2002,29/08/2002,100
Elida - Hurricane (2008),12/07/2008,19/07/2008,90
Elida - Hurricane (2002),23/07/2002,30/07/2002,135
Emilia - Hurricane (2012),7/07/2012,15/07/2012,120
Estelle - Hurricane (1998),29/07/1998,8/08/1998,115
Felicia - Hurricane (2009),4/08/2009,11/08/2009,120
Felicia - Hurricane (1997),14/07/1997,22/07/1997,115
Fernanda - Hurricane (2005),9/08/2005,16/08/2005,75
Flossie - Hurricane (2007),8/08/2007,16/08/2007,120
Flossie - Hurricane (2001),26/08/2001,2/09/2001,90
Genevieve - Hurricane (2014),25/07/2014,11/08/2014,140
Genevieve - Hurricane (2008),21/07/2008,27/07/2008,65
Georgette - Hurricane (1998),11/08/1998,17/08/1998,100
Gilma - Hurricane (2000),5/08/2000,11/08/2000,70
Gilma - Hurricane (2012),7/08/2012,11/08/2012,70
Henriette - Hurricane (2013),3/08/2013,11/08/2013,90
Henriette - Hurricane (2007),30/08/2007,6/09/2007,75
Hilary - Hurricane (1999),17/09/1999,21/09/1999,65
Hilary - Hurricane (2005),20/08/2005,25/08/2005,90
Hilary - Hurricane (2011),21/09/2011,30/09/2011,125
Ileana - Hurricane (2012),27/08/2012,2/09/2012,75
Ileana - Hurricane (2006),21/08/2006,27/08/2006,105
Ioke - Hurricane (2006),19/08/2006,5/09/2006,140
Iselle - Hurricane (2014),31/07/2014,9/08/2014,120
Isis - Hurricane (1998),1/09/1998,3/09/1998,65
Jimena - Hurricane (1997),25/08/1997,29/08/1997,115
Jimena - Hurricane (2009),29/08/2009,4/09/2009,135
Jimena - Hurricane (2003),28/08/2003,5/09/2003,90
Juliette - Hurricane (2001),21/09/2001,3/10/2001,125
Karina - Hurricane (2014),13/08/2014,27/08/2014,70
Kay - Hurricane (1998),13/10/1998,17/10/1998,65
Kenna - Hurricane (2002),22/10/2002,22/10/2002,145
Kristy - Hurricane (2006),30/08/2006,8/09/2006,65
Linda - Hurricane (2009),7/09/2009,12/09/2009,75
Linda - Hurricane (1997),9/09/1997,17/09/1997,160
Linda - Hurricane (2003),14/09/2003,17/09/2003,65
Madeline - Hurricane (1998),16/10/1998,20/10/1998,75
Marie - Hurricane (2014),22/08/2014,29/08/2014,140
Marie - Hurricane (2008),1/10/2008,6/10/2008,70
Miriam - Hurricane (2012),22/09/2012,28/09/2012,105
Narda - Hurricane (2001),20/10/2001,25/10/2001,75
Nora - Hurricane (1997),16/09/1997,26/09/1997,110
Nora - Hurricane (2003),1/10/2003,9/10/2003,90
Odile - Hurricane (2014),10/09/2014,17/09/2014,115
Patricia - Hurricane (2003),20/10/2003,26/10/2003,70
Pauline - Hurricane (1997),6/10/1997,10/10/1997,115
Rachel - Hurricane (2014),24/09/2014,30/09/2014,75
Adolph - Hurricane (2001),25/05/2001,2/06/2001,125
Adrian - Hurricane (2011),7/06/2011,12/06/2011,120
Adrian - Hurricane (2005),17/05/2005,20/05/2005,75
Adrian - Hurricane (1999),18/06/1999,22/06/1999,85
Andres - Hurricane (2009),21/06/2009,24/06/2009,65
Blas - Hurricane (1998),22/06/1998,30/06/1998,120
Boris - Hurricane (2008),27/06/2008,4/07/2008,65
Bud - Hurricane (2006),11/07/2006,15/07/2006,110
Bud - Hurricane (2012),21/05/2012,26/05/2012,100
Calvin - Hurricane (2011),7/07/2011,10/07/2011,80
Carlos - Hurricane (2009),10/07/2009,16/07/2009,90
Cosme - Hurricane (2007),15/07/2007,23/07/2007,65
Cosme - Hurricane (2013),23/06/2013,27/06/2013,75
Daniel - Hurricane (2012),4/07/2012,12/07/2012,100
Daniel - Hurricane (2006),17/07/2006,26/07/2006,130
Daniel - Hurricane (2000),23/07/2000,4/08/2000,110
Douglas - Hurricane (2002),20/07/2002,26/07/2002,90
Enrique - Hurricane (1997),12/07/1997,16/07/1997,90
Erick - Hurricane (2013),4/07/2013,9/07/2013,70
Eugene - Hurricane (1999),6/08/1999,15/08/1999,95
Eugene - Hurricane (2011),31/07/2011,6/08/2011,120
Fabio - Hurricane (2012),12/07/2012,18/07/2012,90
Fausto - Hurricane (2008),16/07/2008,22/07/2008,85
Fausto - Hurricane (2002),21/08/2002,3/09/2002,125
Frank - Hurricane (2010),21/08/2010,28/08/2010,80
Gil - Hurricane (2013),30/07/2013,7/08/2013,75
Gil - Hurricane (2001),4/09/2001,9/09/2001,85
Greg - Hurricane (2011),16/08/2011,21/08/2011,75
Greg - Hurricane (1999),5/09/1999,9/09/1999,65
Guillermo - Hurricane (1997),30/07/1997,15/08/1997,140
Guillermo - Hurricane (2009),12/08/2009,19/08/2009,110
Hector - Hurricane (2000),10/08/2000,16/08/2000,65
Hector - Hurricane (2006),15/08/2006,23/08/2006,90
Hernan - Hurricane (2008),6/08/2008,13/08/2008,105
Hernan - Hurricane (2014),26/07/2014,29/07/2014,65
Hernan - Hurricane (2002),30/08/2002,6/09/2002,140
Howard - Hurricane (1998),21/08/1998,29/08/1998,130
Huko - Hurricane (2002),24/10/2002,3/11/2002,75
Ignacio - Hurricane (2003),22/08/2003,27/08/2003,90
Irwin - Hurricane (2011),6/10/2011,17/10/2011,80
Ivo - Hurricane (2007),18/09/2007,23/09/2007,70
John - Hurricane (2006),28/08/2006,4/09/2006,115
Jova - Hurricane (2011),6/10/2011,13/10/2011,110
Jova - Hurricane (2005),12/09/2005,24/09/2005,100
Julio - Hurricane (2014),4/08/2014,15/08/2014,105
Kenneth - Hurricane (2011),19/11/2011,25/11/2011,125
Kenneth - Hurricane (2005),14/09/2005,30/09/2005,115
Kiko - Hurricane (2001),22/09/2001,25/09/2001,65
Lane - Hurricane (2000),5/09/2000,14/09/2000,85
Lane - Hurricane (2006),13/09/2006,17/09/2006,110
Lane - Hurricane (2012),15/09/2012,19/09/2012,70
Lester - Hurricane (1998),15/10/1998,26/10/1998,100
Lowell - Hurricane (2014),18/08/2014,24/08/2014,65
Manuel - Hurricane (2013),13/09/2013,20/09/2013,65
Marty - Hurricane (2003),19/09/2003,24/09/2003,85
Max - Hurricane (2005),18/09/2005,22/09/2005,70
Neki - Hurricane (2009),18/10/2009,26/10/2009,105
Norbert - Hurricane (2008),4/10/2008,12/10/2008,115
Norbert - Hurricane (2014),2/09/2014,8/09/2014,105
Octave - Hurricane (2001),31/10/2001,3/11/2001,75
Olaf - Hurricane (2003),3/10/2003,8/10/2003,65
Otis - Hurricane (2005),28/09/2005,3/10/2005,90
Paul - Hurricane (2012),13/10/2012,17/10/2012,105
Paul - Hurricane (2006),21/10/2006,26/10/2006,95
Polo - Hurricane (2014),16/09/2014,22/09/2014,65
Raymond - Hurricane (2013),20/10/2013,30/10/2013,110
Rick - Hurricane (1997),7/11/1997,10/11/1997,75
Rick - Hurricane (2009),15/10/2009,21/10/2009,155
Sergio - Hurricane (2006),14/11/2006,20/11/2006,95
Simon - Hurricane (2014),1/10/2014,8/10/2014,115
Cimaron - Super Typhoon (2006),27/10/2006,4/11/2006,140
Ginger - Super Typhoon (1997),22/09/1997,30/09/1997,145
Haiyan - Super Typhoon (2013),3/11/2013,11/11/2013,170
Ioke - Super Typhoon (2006),19/08/2006,5/09/2006,140
Isa - Super Typhoon (1997),11/04/1997,23/04/1997,145
Joan - Super Typhoon (1997),13/10/1997,24/10/1997,160
Ketsana - Super Typhoon (2003),18/10/2003,26/10/2003,125
Krosa - Super Typhoon (2007),1/10/2007,8/10/2007,130
Kujira - Super Typhoon (2003),9/04/2003,25/04/2003,130
Ma on - Super Typhoon (2004),4/10/2004,9/10/2004,140
Maemi - Super Typhoon (2003),5/09/2003,13/09/2003,150
Man yi - Super Typhoon (2007),8/07/2007,15/07/2007,135
Megi - Super Typhoon (2010),13/10/2010,23/10/2010,155
Muifa - Super Typhoon (2011),25/07/2011,8/08/2011,140
Nalgae - Super Typhoon (2011),27/09/2011,5/10/2011,130
Nida - Super Typhoon (2004),13/05/2004,21/05/2004,140
Oliwa - Super Typhoon (1997),2/09/1997,16/09/1997,140
Parma - Super Typhoon (2003),20/10/2003,31/10/2003,130
Phanfone - Super Typhoon (2002),11/08/2002,20/08/2002,135
Phanfone - Super Typhoon (2014),28/09/2014,6/10/2014,130
Rammasun - Super Typhoon (2014),12/07/2014,19/07/2014,135
Rosie - Super Typhoon (1997),19/07/1997,27/07/1997,140
Sepat - Super Typhoon (2007),12/08/2007,19/08/2007,140
Shanshan - Super Typhoon (2000),17/09/2000,24/09/2000,130
Sudal - Super Typhoon (2004),4/04/2004,15/04/2004,130
Usagi - Super Typhoon (2013),16/09/2013,22/09/2013,140
Winnie - Super Typhoon (1997),8/08/1997,19/08/1997,140
Wipha - Super Typhoon (2007),15/09/2007,19/09/2007,135
Xangsane - Super Typhoon (2006),25/09/2006,30/09/2006,125
Yagi - Super Typhoon (2006),17/09/2006,24/09/2006,140
Yutu - Super Typhoon (2007),17/05/2007,22/05/2007,125
Bilis - Super Typhoon (2000),18/08/2000,24/08/2000,140
Bing - Super Typhoon (1997),27/08/1997,5/09/1997,125
Chaba - Super Typhoon (2004),18/08/2004,31/08/2004,155
Chanchu - Super Typhoon (2006),8/05/2006,18/05/2006,135
Chataan - Super Typhoon (2002),29/06/2002,11/07/2002,130
Damrey - Super Typhoon (2000),5/05/2000,12/05/2000,155
Danas - Super Typhoon (2013),3/10/2013,8/10/2013,125
Dianmu - Super Typhoon (2004),13/06/2004,21/06/2004,155
Dujuan - Super Typhoon (2003),30/08/2003,3/09/2003,125
Durian - Super Typhoon (2006),26/11/2006,5/12/2006,135
Ewiniar - Super Typhoon (2006),29/06/2006,10/07/2006,130
Faxai - Super Typhoon (2001),11/12/2001,25/12/2001,155
Fengshen - Super Typhoon (2002),14/07/2002,27/07/2002,145
Francisco - Super Typhoon (2013),16/10/2013,25/10/2013,140
Hagibis - Super Typhoon (2002),15/05/2002,21/05/2002,140
Halong - Super Typhoon (2014),28/07/2014,10/08/2014,140
Halong - Super Typhoon (2002),7/07/2002,15/07/2002,135
Higos - Super Typhoon (2002),26/09/2002,2/10/2002,135
Imbudo - Super Typhoon (2003),16/07/2003,24/07/2003,130
Ivan - Super Typhoon (1997),13/10/1997,24/10/1997,160
Jelawat - Super Typhoon (2000),1/08/2000,11/08/2000,125
Keith - Super Typhoon (1997),27/10/1997,8/11/1997,160
Lekima - Super Typhoon (2013),20/10/2013,26/10/2013,140
Lupit - Super Typhoon (2003),19/11/2003,1/12/2003,145
Mindulle - Super Typhoon (2004),23/06/2004,4/07/2004,125
Mitag - Super Typhoon (2002),26/02/2002,8/03/2002,140
Neoguri - Super Typhoon (2014),3/07/2014,10/07/2014,135
Nestor - Super Typhoon (1997),7/06/1997,14/06/1997,140
Paka - Super Typhoon (1997),2/12/1997,21/12/1997,160
Podul - Super Typhoon (2001),19/10/2001,27/10/2001,140
Pongsona - Super Typhoon (2002),2/12/2002,11/12/2002,130
Saomai - Super Typhoon (2006),4/08/2006,10/08/2006,140
Saomai - Super Typhoon (2000),3/09/2000,16/09/2000,140
Songda - Super Typhoon (2011),20/05/2011,29/05/2011,140
Songda - Super Typhoon (2004),27/08/2004,7/09/2004,130
Soulik - Super Typhoon (2013),7/07/2013,13/07/2013,125
Tokage - Super Typhoon (2004),12/10/2004,20/10/2004,125
Utor - Super Typhoon (2013),8/08/2013,14/08/2013,130
Vongfong - Super Typhoon (2014),2/10/2014,14/10/2014,155
Wutip - Super Typhoon (2001),27/08/2001,2/09/2001,130
#19 - Super Typhoon (2008),23/09/2008,1/10/2008,140
#3 - Super Typhoon (2008),6/05/2008,13/05/2008,135
